Time,Date,Name,Rank,Age,Exchanges,Markets,Pairs,All_Time_High,Circulating_Supply,Total_Supply,Max_Supply,Code,Rate,Volume,Cap,Delta_Hour_Change,Delta_Day_Change,Delta_Week_Change,Delta_Month_Change,Delta_Quarter_Change,Delta_Year_Change,Hour,Day,Month_Number,Month_Name,Year
22:24:39,2024-07-15,BTSE,BTC,btse,50529.004797345966,755.6999577237466,658.540059952663,1414.2400176764097,22,15,7,July,2024
22:24:43,2024-07-15,BTSE,ETH,btse,941942.884639672,14087.477102612018,12276.25848184478,26363.735584456797,22,15,7,July,2024
22:24:54,2024-07-15,BTSE,BNB,btse,5628382.458420142,84176.76942065137,73354.21183278879,157530.98125344017,22,15,7,July,2024
22:25:05,2024-07-15,BTSE,ADA,btse,7301498567.652018,109199501.96969733,95159786.41911428,204359288.38881162,22,15,7,July,2024
22:25:14,2024-07-15,BTSE,DOGE,btse,26068889594.497284,386346629.4738721,337529767.4425172,723876396.9163893,22,15,7,July,2024
22:25:24,2024-07-15,BTSE,SOL,btse,20756157.71614986,307610.7843179978,268742.5968619348,576353.3811799326,22,15,7,July,2024
22:25:34,2024-07-15,BTSE,USDT,btse,3264083448.3096986,48374428.60788734,42262073.466048144,90636502.07393548,22,15,7,July,2024
22:25:44,2024-07-15,BTSE,TONCOIN,btse,429448258.3965315,6364516.853067136,5560327.7715278,11924844.624594936,22,15,7,July,2024
22:25:54,2024-07-15,BTSE,USDC,btse,3266822180.976782,48415017.22333726,42297533.50345622,90712550.72679348,22,15,7,July,2024
22:26:03,2024-07-15,BTSE,XRP,btse,5837940768.783151,86519555.46137144,75587369.49219744,162106924.95356888,22,15,7,July,2024
22:26:23,2024-07-15,BTSE,BTC,btse,50506.471256258854,741.8333071534978,650.0967670627102,1391.9300742162081,22,15,7,July,2024
22:26:27,2024-07-15,BTSE,ETH,btse,941571.7184010239,13829.698341815463,12119.491123908841,25949.189465724307,22,15,7,July,2024
22:26:37,2024-07-15,BTSE,BNB,btse,5626587.4422175875,82642.67660020624,72422.92353433844,155065.6001345447,22,15,7,July,2024
22:26:46,2024-07-15,BTSE,ADA,btse,7297597369.888387,107186280.42160252,93931417.88542342,201117698.30702594,22,15,7,July,2024
22:26:56,2024-07-15,BTSE,DOGE,btse,26058410156.960003,382742965.50671023,335412230.8779292,718155196.3846395,22,15,7,July,2024
22:27:05,2024-07-15,BTSE,SOL,btse,20743141.89157634,305450.18005566986,265744.8352538698,571195.0153095397,22,15,7,July,2024
22:34:14,2024-07-15,BTSE,BTC,btse,50649.37735660173,730.5259191855403,661.1501322481074,1391.6760514336477,22,15,7,July,2024
22:34:18,2024-07-15,BTSE,ETH,btse,945222.3213496654,13633.12722044059,12338.431297275154,25971.558517715745,22,15,7,July,2024
22:34:28,2024-07-15,BTSE,BNB,btse,5642141.483117002,81377.71495411445,73649.52507632601,155027.24003044047,22,15,7,July,2024
22:34:39,2024-07-15,BTSE,ADA,btse,7287080435.199004,105102992.59204727,95121686.48222187,200224679.07426915,22,15,7,July,2024
22:34:49,2024-07-15,BTSE,DOGE,btse,26107910693.99791,376559524.5814186,340798831.2774122,717358355.8588307,22,15,7,July,2024
22:34:58,2024-07-15,BTSE,SOL,btse,20844892.01890971,300649.9723624448,272098.1744349786,572748.1467974234,22,15,7,July,2024
22:35:07,2024-07-15,BTSE,USDT,btse,3272350085.9265013,47197748.110258885,42715523.96073859,89913272.07099748,22,15,7,July,2024
22:35:17,2024-07-15,BTSE,TONCOIN,btse,430166254.97664475,6204372.397451698,5615162.341761976,11819534.739213673,22,15,7,July,2024
22:35:26,2024-07-15,BTSE,USDC,btse,3274396801.349787,46854285.05379192,42928518.40787232,89782803.46166424,22,15,7,July,2024
22:35:37,2024-07-15,BTSE,XRP,btse,5873007148.961988,84038547.48666644,76997233.62783967,161035781.1145061,22,15,7,July,2024
22:35:55,2024-07-15,BTSE,BTC,btse,50631.619681568416,726.3133330192468,665.2447960013338,1391.5581290205805,22,15,7,July,2024
22:35:59,2024-07-15,BTSE,ETH,btse,944917.3518587176,13554.890710045043,12415.193409350974,25970.084119396015,22,15,7,July,2024
22:36:08,2024-07-15,BTSE,BNB,btse,5639464.881630443,80898.42988201077,74096.47742520561,154994.90730721637,22,15,7,July,2024
22:36:18,2024-07-15,BTSE,ADA,btse,7287959604.553829,104546176.17575593,95755917.56473686,200302093.7404928,22,15,7,July,2024
22:36:27,2024-07-15,BTSE,DOGE,btse,26095671627.67438,374343826.1796653,342868939.56089765,717212765.740563,22,15,7,July,2024
22:36:36,2024-07-15,BTSE,SOL,btse,20840301.81794718,298955.260955843,273819.05652394955,572774.3174797925,22,15,7,July,2024
22:36:45,2024-07-15,BTSE,USDT,btse,3270757806.593318,46919198.298337445,42974224.871755876,89893423.17009331,22,15,7,July,2024
22:36:55,2024-07-15,BTSE,TONCOIN,btse,430010159.0806168,6168519.076384097,5649869.0414247615,11818388.117808858,22,15,7,July,2024
22:37:03,2024-07-15,BTSE,USDC,btse,3273533255.905835,46959012.26939897,43010691.27799233,89969703.5473913,22,15,7,July,2024
22:37:13,2024-07-15,BTSE,XRP,btse,5870350133.289349,84210491.35134618,77130060.25557,161340551.6069162,22,15,7,July,2024
22:37:31,2024-07-15,BTSE,BTC,btse,50617.166809964496,732.0760922245264,664.1741480035412,1396.2502402280677,22,15,7,July,2024
22:37:35,2024-07-15,BTSE,ETH,btse,944664.1861220307,13662.678285354708,12395.429663667865,26058.107949022575,22,15,7,July,2024
